epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39485,1.55796,5.10092,1.35474,0.09753,0.05632,0.03807,0.02244,1.36507,4.93334,1.21138,0.00010002,0.00010002,0.00010002
2,12.2529,1.37015,2.76884,1.24252,0.52097,0.7104,0.55099,0.37217,1.30422,4.32036,1.15261,0.000205983,0.000205983,0.000205983
3,15.1269,1.25251,1.47384,1.13941,0.79623,0.78846,0.79586,0.51734,1.13787,1.54126,1.0611,0.000300393,0.000300393,0.000300393
4,17.9863,1.26553,1.32295,1.12712,0.598,0.65522,0.61686,0.40472,1.22112,2.1511,1.11818,0.000383252,0.000383252,0.000383252
5,20.7124,1.23098,1.28035,1.1131,0.69002,0.8283,0.79707,0.50557,1.19947,1.09509,1.06541,0.000454558,0.000454558,0.000454558
6,23.4188,1.11122,1.11313,1.07394,0.96064,0.78984,0.87427,0.51204,1.30136,1.09514,1.17375,0.000514311,0.000514311,0.000514311
7,26.1433,1.18204,0.9749,1.10462,0.8973,0.80423,0.85626,0.52289,1.32404,1.05217,1.16717,0.000562512,0.000562512,0.000562512
8,28.9297,1.19017,1.00035,1.11407,0.83537,0.82478,0.85594,0.50956,1.31714,0.97986,1.19359,0.000599161,0.000599161,0.000599161
9,31.6445,1.13398,0.93979,1.10132,0.87316,0.78846,0.8507,0.5473,1.27413,0.94402,1.15798,0.000624258,0.000624258,0.000624258
10,34.4078,1.17084,0.86697,1.11208,0.93725,0.78249,0.86806,0.57679,1.25229,0.92041,1.14583,0.000637803,0.000637803,0.000637803
11,39.6887,1.16081,0.94187,1.11281,0.8272,0.83474,0.85126,0.53591,1.25998,0.93008,1.14386,0.000639795,0.000639795,0.000639795
12,43.1668,1.09541,0.86514,1.08354,0.86717,0.66209,0.79092,0.49347,1.30682,1.40598,1.22257,0.000630234,0.000630234,0.000630234
13,45.9487,1.06006,0.89361,1.07835,0.84063,0.81389,0.86467,0.54895,1.30668,1.21375,1.22644,0.000609122,0.000609122,0.000609122
14,48.6593,1.07301,0.79652,1.06916,0.9122,0.77335,0.85526,0.55638,1.26201,1.24351,1.17001,0.000576457,0.000576457,0.000576457
15,51.3771,1.08265,0.85542,1.08164,0.90615,0.82903,0.87929,0.55343,1.25076,0.97082,1.14653,0.000511769,0.000511769,0.000511769
16,54.0601,1.02758,0.77481,1.04493,0.93608,0.83186,0.91898,0.59116,1.17277,1.05391,1.11,0.000429253,0.000429253,0.000429253
17,56.7976,0.93945,0.70859,1.00931,0.95245,0.84514,0.92132,0.5945,1.14965,0.96647,1.10315,0.000346736,0.000346736,0.000346736
18,59.5488,0.91582,0.67391,1.0067,0.95941,0.86538,0.92487,0.61922,1.12248,0.81908,1.09185,0.00026422,0.00026422,0.00026422
19,62.3267,0.86925,0.6336,0.96641,0.96293,0.86538,0.92774,0.62046,1.13786,0.73508,1.10361,0.000181703,0.000181703,0.000181703
20,65.0781,0.89143,0.63934,1.00389,0.97328,0.8763,0.9334,0.61706,1.15604,0.7033,1.10997,9.91865e-05,9.91865e-05,9.91865e-05
