epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.843,1.35864,2.77969,1.56043,0.59235,0.45169,0.48947,0.32822,1.24403,1.87989,1.53736,0.000207973,0.000207973,0.000207973
2,679.671,1.38028,1.98022,1.58283,0.54882,0.48176,0.5077,0.33907,1.28668,1.79733,1.60026,0.000395699,0.000395699,0.000395699
3,1011.7,1.37425,1.88737,1.56314,0.63266,0.51552,0.58136,0.396,1.20328,1.61901,1.52913,0.0005628,0.0005628,0.0005628
4,1345.21,1.3197,1.77168,1.52422,0.67279,0.58837,0.6546,0.4559,1.11967,1.35812,1.43964,0.000532187,0.000532187,0.000532187
5,1678.96,1.23446,1.58605,1.46882,0.76098,0.62182,0.70947,0.51014,1.07423,1.17368,1.38489,0.00050125,0.00050125,0.00050125
6,2013.3,1.17765,1.45018,1.42005,0.78153,0.66021,0.74012,0.5476,0.99117,1.08255,1.32311,0.000470312,0.000470312,0.000470312
7,2347.55,1.11751,1.34227,1.37275,0.8431,0.68035,0.78924,0.59617,0.96097,0.97902,1.2988,0.000439375,0.000439375,0.000439375
8,2681.19,1.07896,1.25901,1.34515,0.86407,0.69907,0.81374,0.62538,0.89677,0.88877,1.25714,0.000408438,0.000408438,0.000408438
9,3014.2,1.04294,1.18893,1.31794,0.8383,0.74309,0.8214,0.639,0.87447,0.84388,1.22656,0.0003775,0.0003775,0.0003775
10,3347.1,0.99732,1.11723,1.28901,0.8556,0.74812,0.83716,0.6541,0.84559,0.79675,1.20946,0.000346563,0.000346563,0.000346563
11,3680.9,0.8774,0.84772,1.22179,0.86844,0.75578,0.84754,0.66712,0.84095,0.77922,1.20065,0.000315625,0.000315625,0.000315625
12,4014.48,0.83652,0.78077,1.18973,0.87651,0.7724,0.85603,0.67797,0.81254,0.73825,1.18838,0.000284688,0.000284688,0.000284688
13,4348.19,0.80445,0.72593,1.16491,0.9075,0.79757,0.87509,0.7063,0.7841,0.66586,1.16257,0.00025375,0.00025375,0.00025375
14,4681.73,0.7792,0.68104,1.14253,0.88407,0.80188,0.87653,0.70924,0.7624,0.65793,1.1467,0.000222813,0.000222813,0.000222813
15,5014.82,0.75135,0.64011,1.12585,0.9013,0.81335,0.88618,0.72331,0.74939,0.61859,1.12404,0.000191875,0.000191875,0.000191875
16,5347.82,0.72535,0.61255,1.10603,0.91047,0.82074,0.89039,0.73281,0.73569,0.59881,1.13274,0.000160938,0.000160938,0.000160938
17,5680.89,0.70133,0.56697,1.08564,0.91371,0.82268,0.90483,0.74552,0.70936,0.55289,1.10505,0.00013,0.00013,0.00013
18,6013.7,0.67149,0.52687,1.06652,0.92264,0.83085,0.90679,0.75384,0.70294,0.54164,1.09656,9.90625e-05,9.90625e-05,9.90625e-05
19,6346.95,0.64928,0.49972,1.04852,0.90602,0.84876,0.91322,0.75739,0.69778,0.52795,1.10061,6.8125e-05,6.8125e-05,6.8125e-05
20,6679.97,0.62987,0.46523,1.03788,0.90047,0.856,0.91355,0.76423,0.68029,0.50842,1.09216,3.71875e-05,3.71875e-05,3.71875e-05
